,Centers,Locations,emails,phones,programs
20,Baldur Early Learning Centre Inc.,"P/O Box 12
Baldur, Manitoba
R0K 0B0",baldurelc@gmail.com,,"Infant, Nursery/Preschool"
21,Baldur Nursery School Inc.,"142 1st Street
Baldur, Manitoba
R0K 0B0",baldurnurseryschool@gmail.com,,Nursery/Preschool
22,Balmoral Childcare Centre Inc.,"236-6026E PVT 236 Highway E
Balmoral, Manitoba
R0C 0H0",balmoralchildcare@gmail.com,,"Nursery/Preschool, School Age"
23,Bambini Montessori Preschool Inc.,"A-1086 St. Mary's Road
Winnipeg, Manitoba
R2M 4K4",admin@bambinimontessori.ca,,Nursery/Preschool
24,Beaumont Day Care Inc.,"5880 Betsworth Avenue
Winnipeg, Manitoba
R3R 0J7",beaumont@mymts.net,,"Nursery/Preschool, School Age"
25,Beausejour Kids Centre Inc.,"900 James Avenue
Beausejour, Manitoba
R0E 0C0",beausejourkidscentre@mymts.net,,"Infant, Nursery/Preschool, School Age"
26,Beautiful Savior Lutheran Child Care (St. Mary's),"1541-B St Mary's Road
Winnipeg, Manitoba
R2M 3V8",childcare@bsls.ca,,"Infant, Nursery/Preschool"
27,Beautiful Savior Lutheran School Inc. (Birchdale),"52 Birchdale Avenue
Winnipeg, Manitoba
R2H 1R9",childcare@bsls.ca,,"Nursery/Preschool, School Age"
28,Beautiful Savior Nursery School (St.Mary's),"1541 St. Mary's Road
Winnipeg, Manitoba
R2M 3V8",childcare@bsls.ca,,Nursery/Preschool
29,Beaverlodge Care for Kids Inc.,"6691 Rannock Avenue
Winnipeg, Manitoba
R3R 1Z3",blckdirector@shaw.ca,(204) 832-9635,"Infant, Nursery/Preschool, School Age"
30,Behavioural Health Foundation Day Care,"3514 Pembina Highway
Winnipeg, Manitoba
R3V 1L6",lilliank@bhf.ca,(204) 269-8613,"Infant, Nursery/Preschool, School Age"
31,Belmont Learning Centre,"525 Belmont Street
Winnipeg, Manitoba
R2V 2B5",smdcdirectors@gmail.com,(204) 334-7075,"Nursery/Preschool, School Age"
32,Benito Child Care Centre,"75 4th Avenue
Benito, Manitoba
R0L 0C0",bccckids@gmail.com,(204) 539-2628,"Infant, Nursery/Preschool, School Age"
33,BH Beginnings DayCare Centre,"630 Westminster Street
Winnipeg, Manitoba
R3C 3C1",cprociuk@balmoralhall.ca,,Nursery/Preschool
34,Birch River Nursery School,"210 Drury Avenue
Birch River, Manitoba
R0L 0E0",mbrading@mymts.net,,Nursery/Preschool
35,Birds Hill Before and After School Care,"3950 Raleigh Street
East St. Paul, Manitoba
R2E 0G9",ashley.massner@ymanitoba.ca,(204) 669-7286,"Nursery/Preschool, School Age"
36,Birnie Nursery School Inc.,"17 Government Allowance Road
Birnie, Manitoba
R0J 0J0",dondo47@gmail.com,(204) 922-2013,Nursery/Preschool
37,Birtle Nursery School Inc.(Morning Star School Age Program),"73 11th Street
Birtle, Manitoba
R0M 0C0",mornstardaycare@gmail.com,(204) 842-3276,"Nursery/Preschool, School Age"
38,Boissevain Nursery School Inc.,"Rm.122- 885 Mill Road
Boissevain, Manitoba
R0K 0E0",boissevainnurseryschool@gmail.com,(204) 305-0475,Nursery/Preschool
39,Brandon Nursery School Inc.,"451 18th Street
Brandon, Manitoba
R7A 5A9",brandonnurseryschool@gmail.com,,Nursery/Preschool
40,Bright Beginnings Educare Inc.,"111 Alboro Street
Headingley, Manitoba
R4J 1A3",brightbeginnings@mymts.net,,"Nursery/Preschool, School Age"
41,Bright Beginnings Educare Inc. (Monterey site),"5330 Monterey Road
Headingley, Manitoba
R4H 1J9",brightbeginnings@mymts.net,,"Infant, Nursery/Preschool"
42,Bright Beginnings for Kids INC.,"29 Des Meurons Street
Winnipeg, Manitoba
R2M 2X7",bbforkids@shaw.ca,,"Infant, Nursery/Preschool"
43,Bright Future Child Care Center Inc.,"898 Henderson Highway
Winnipeg, Manitoba
R2K 3T4",brightfutureccc@shaw.ca,(204) 667-2930,"Nursery/Preschool, School Age"
44,Bright Tikes Preschool and Day Care Inc.,"10 - 3014 Henderson Highway
East St. Paul, Manitoba
R2E 0H9",info@brighttikes.com,(204) 410-1001,"Infant, Nursery/Preschool, School Age"
45,Brightling Children's Academy,"1461 Chevrier boulevard
Winnipeg, Manitoba
R3T 1Y7",info@brightlingacademy.ca,,"Infant, Nursery/Preschool, School Age"
46,Brock Corydon Day Care Inc.,"1510 Corydon Avenue
Winnipeg, Manitoba
R3N 0J6",bcd@brockcorydondaycare.ca,,"Nursery/Preschool, School Age"
47,Brooklands Day Care Centre Inc.,"1950 Pacific Avenue W
Winnipeg, Manitoba
R2R 0G4",Bdcdayc@mymts.net,,"Nursery/Preschool, School Age"
48,Bruxelles Preschool,"20 School Street
Bruxelles, Manitoba
R0G 0G0",smallendeavors@live.ca,,Nursery/Preschool
49,BU Early Learning Centre Inc.,"303 21st Street
Brandon, Manitoba
R7B 1N8",branu@mts.net,,Nursery/Preschool
50,Budz 'n Bloom Day Care Centre Inc.,"101 Hamilton Street
Neepawa, Manitoba
R0J 1H0",budzblom@mymts.net,(204) 476-3844,"Infant, Nursery/Preschool"
51,Building Blocks on Balmoral,"51 Balmoral Street
Winnipeg, Manitoba
R3C 1X5",colleen.lussier@ymanitoba.ca,,"Infant, Nursery/Preschool"
52,Bumper Crop Early Learning Centre Inc.,"2090 Jefferson Ave
Winnipeg, Manitoba
R2R 3A3",director@bumpercropelc.ca,,"Infant, Nursery/Preschool, School Age"
53,Busy Bee Day Care Centre,"646-648 McGee Street
Winnipeg, Manitoba
R3E 1W8",busybee@mts.net,(204) 775-6506,"Infant, Nursery/Preschool, School Age"
54,Busy Bee Day Care Centre Inc. - King Edward Site,"1770 King Edward Street
Winnipeg, Manitoba
R2R 0M5",busybee@mymts.net,(204) 633-3054,"Infant, Nursery/Preschool"
55,Busy Bee Day Care Centre Inc. School Age Program,"640 McGee Street
Winnipeg, Manitoba
R3E 1W8",busybee@mts.net,(204) 775-6506,"Nursery/Preschool, School Age"
56,Busy Nest Day Care Inc.,"159 Main Street
Morris, Manitoba
R0G 1K0",bnkoc2019@outlook.com,,"Infant, Nursery/Preschool"
57,C.A.P.T. (Grosvenor) Inc.,"1045 Grosvenor Avenue
Winnipeg, Manitoba
R3M 0M8",captinfo@mymts.net,(204) 925-6152,Nursery/Preschool
58,C.A.P.T. Inc.,"245 Queenston Street
Winnipeg, Manitoba
R3N 0W6",captinfo@mymts.net,(204) 925-6150,"Nursery/Preschool, School Age"
59,Cairns Children's Centre Inc.,"1100 Chancellor Drive
Winnipeg, Manitoba
R3T 4W8",tannis.hewitt@cairnscc.com,,"Nursery/Preschool, School Age"
60,Cairns Parc La Salle,"190 Houde Drive
St Norbert Winnipeg, Manitoba
R3V 1C5",tannis.hewitt@cairnscc.com,,"Nursery/Preschool, School Age"
61,Campus Children's Centre Inc.,"15 - 19 Dysart Road
Winnipeg, Manitoba
R3T 2N2",ccci19138@gmail.com,,"Infant, Nursery/Preschool"
62,Can You Imagine Preschool Care and Education Centre Inc.,"55 Stadacona Street
Wpg, Manitoba
R2L 1P8",cyi@mymts.net,,Nursery/Preschool
63,Can You Imagine- Weston,"1410 Logan Ave.
Winnpeg, Manitoba
R3E 1R9",cyi@mymts.net,(204) 668-4822,"Nursery/Preschool, School Age"
64,Canterbury Park Before and After School Program,"605 Wayota Street
Wpg, Manitoba
R2C 5G2",cpdc@mymts.net,(204) 777-0386,"Nursery/Preschool, School Age"
65,Canterbury Park Day Care Inc.,"875 McMeans Avenue E
Winnipeg, Manitoba
R2C 5C5",cpdc@mymts.net,,"Infant, Nursery/Preschool"
66,Carberry Child Care Cooperative,"240 Main Street
Carberry, Manitoba
R0K 0H0",cccc@bpsd.mb.ca,(204) 834-3690,"Infant, Nursery/Preschool, School Age"
67,Care and Share Children's Centre Inc.,"22 Strauss Drive
Winnipeg, Manitoba
R3J 3V1",careandsharewpg@shaw.ca,,"Infant, Nursery/Preschool"
68,Care-A-Lot Nursery Inc.,"829 Watt Street
Winnipeg, Manitoba
R2K 2T3",cyi@mymts.net,(204) 669-0436,Nursery/Preschool
69,Caring & Crayons Inc.,"128 Main Street
Oakburn, Manitoba
R0J 1L0",caringcrayonsinc@gmail.com,,Nursery/Preschool
70,Carpathia Children's Centre Inc.,"1777 Grant Avenue
Winnipeg, Manitoba
R3N 0M9",cccinc@carpathiachildrenscentre.ca,,"Nursery/Preschool, School Age"
71,Carter Early Learning Centre Inc.,"465B Stafford Street
Winnipeg, Manitoba
R3M 2E2",carterelc.waitlist@gmail.com,,Nursery/Preschool
72,Cartwright and District Early Learning Center,"555 Bond Street
Cartwright, Manitoba
R0K 0L0",cartwrightanddistrictelc@outlook.com,,"Infant, Nursery/Preschool"
73,Casa Montessori & Orff School Fennel,"80 Fennel Street
Winnipeg, Manitoba
R3T 3M4",admin@montessoriandorff.ca,(204) 475-8063,"Infant, Nursery/Preschool"
74,Casa Montessori & Orff School Inc.,"1055 Wilkes Avenue
Wpg, Manitoba
R3P 2L7",admin@montessoriandorff.ca,(204) 487-6167,Nursery/Preschool
75,Central Park Child Care Inc.,"101-461 Cumberland Avenue
Winnipeg, Manitoba
R3B 3G3",centralparkchildcare@outlook.com,(204) 942-4454,"Nursery/Preschool, School Age"
76,Centre D'apprentissage et de garde d'enfants de Saint-Boniface,"205 Rue Despins
Winnipeg, Manitoba
R2H 2E9",caryn@unespacepourgrandir.ca,(204) 233-7677,"Infant, Nursery/Preschool"
77,Centre D'Enfants Saint Claude Children's Centre Inc.,"28 P.R. 240 South
St. Claude, Manitoba
R0G 1Z0",,(204) 379-2908,"Infant, Nursery/Preschool"
78,Centre Soleil Inc.,"81 Quail Ridge Chemin
Winnipeg, Manitoba
R2Y 2A9",centresoleilwpg@gmail.com,,"Nursery/Preschool, School Age"
79,Chabad Torah Tots,"1845 Mathers Avenue
Winnipeg, Manitoba
R2V 3K2",torahtots@chabadwinnipeg.org,(204) 339-8737,Nursery/Preschool
80,Champlain Community Child Care Centre Inc.,"119-275 Church Avenue
Winnipeg, Manitoba
R2W 1B7",champlainchildcare@shaw.ca,(204) 586-8883,"Infant, Nursery/Preschool, School Age"
81,Chancellor Before and After School Program,"1520 Chancellor Drive
Winnipeg, Manitoba
R3T 4P8",ashleigh.maryk@ymanitoba.ca,,"Nursery/Preschool, School Age"
82,Chapman Day Care Inc.,"450 Laxdal Avenue
Winnipeg, Manitoba
R3R 0W4",chapmandc@mymts.net,,"Nursery/Preschool, School Age"
83,Charlie Brown Day Care Centre Incorporated,"611 5th Avenue E
Ste. Rose Du Lac, Manitoba
R0L 1S0",charliebrowndaycare@hotmail.com,(204) 447-2766,"Infant, Nursery/Preschool, School Age"
84,Children at the Centre,"60 Pearl Street
Winnipeg, Manitoba
R3E 1X2",rdgiesbrecht@exchange.hsc.mb.ca,,"Infant, Nursery/Preschool"
85,Children For the Future,"1413 Main Street
Swan River, Manitoba
R0L 1Z0",headstart@elbertchartrandfc.com,,Nursery/Preschool
86,Children Of The Universe Learning Center Inc.,"1-116 Central Avenue
Ste. Anne, Manitoba
R5G 1G6",cotuchildcare@gmail.com,,"Nursery/Preschool, School Age"
87,Children's Den Inc.,"535 B Park Street
Brandon, Manitoba
R7A 6M6",deninc@mymts.net,,"Infant, Nursery/Preschool"
88,Children's House,"150 Pacific Avenue
Winnipeg, Manitoba
R3B 3K8",childrenshousewinnipeg@gmail.com,,Nursery/Preschool
89,Children's Place Co-operative Inc.,"17 Burrows Road
Pinawa, Manitoba
R0E 1L0",cpci@mts.net,,"Infant, Nursery/Preschool"
90,Children's Place Co-operative Inc. (School Age Site),"33 Massey Avenue
Pinawa, Manitoba
R0E 1L0",cpci@mymts.net,,"Nursery/Preschool, School Age"
91,Churchill Children's Centre,"162 Laverendrye Avenue
Churchill, Manitoba
R0B 0E0",cneepin@wrha-ch.ca,,"Infant, Nursery/Preschool, School Age"
92,Clearwater & District Nursery School Inc.,"PO Box 38
Clearwater, Manitoba
R0K 0M0",hd57stone@hotmail.com,,Nursery/Preschool
93,Concordia Child Care Centre,"CP 108-1000 Molson Avenue
Winnipeg, Manitoba
R2K 4L5",lallen4@concordiahospital.mb.ca,,"Infant, Nursery/Preschool"
94,Cornish Child Care Centre,"25 Furby Street
Winnipeg, Manitoba
R3C 2A2",corccc@mymts.net,(204) 775-2736,"Infant, Nursery/Preschool"
95,Country Kids Learning Centre,"991B PTH 26 Highway
St. Francois Xavier, Manitoba
R4L 1A4",cherylcklc@outlook.com,(204) 864-3089,"Infant, Nursery/Preschool"
96,Created 4 Me-Nursery School,"32-3950 Raleigh Street
East St. Paul, Manitoba
R2C 3T7",director@created4me.ca,(204) 415-5437,Nursery/Preschool
97,Created 4 Me-Preschool,"264A Hoddinott Road
East St. Paul, Manitoba
R2E 0H7",director@created4me.ca,(204) 661-2458,"Infant, Nursery/Preschool"
98,Crestview Park Day Nursery Incorporated,"37 Voyageur Avenue
Winnipeg, Manitoba
R2Y 0H7",cpdn@crestviewpark.ca,(204) 837-6022,"Infant, Nursery/Preschool"
99,Crestview School Children's Centre Inc.,"333 Morgan Crescent
Winnipeg, Manitoba
R2Y 0C9",renee@crestviewscc.ca,,"Nursery/Preschool, School Age"
100,Crystal City Community Daycare,"240 Crystal Avenue
Crystal City, Manitoba
R0K 0N0",crystalcitydaycare@gmail.com,,"Infant, Nursery/Preschool"
101,Cuddles Infant Centre,"141 Arlington Street
Winnipeg, Manitoba
R3C 1Y3",harmomy@shaw.ca,(204) 775-3889,Infant
102,Daily Discoveries Inc.,"106 Burrows Avenue
Gilbert Plains, Manitoba
R0L 0X0",dailydiscoveries2274@gmail.com,(204) 548-2274,"Infant, Nursery/Preschool, School Age"
103,Dakota Nursery School,"1188 Dakota Street
Winnipeg, Manitoba
R2N 3H4",dakotanurseryschool@dakotacc.com,,Nursery/Preschool
104,Dalhousie Day Care Inc.,"262 Dalhousie Drive
Winnipeg, Manitoba
R3T 2Z1",dalhoudc@outlook.com,,"Nursery/Preschool, School Age"
105,Dante Day Nursery Inc.,"358 Cockburn Street N
Winnipeg, Manitoba
R3M 2P5",dantekid@mts.net,,"Infant, Nursery/Preschool"
106,Dauphin Mini Franglais Preschool Corporation,"312 Sandy Street
Dauphin, Manitoba
R7N 0K9",minifranglais@live.com,,Nursery/Preschool
107,Dauphin School Age Day Care Inc.,"1516 Bond Street
Dauphin, Manitoba
R7N 0K4",dsadcinc@hotmail.com,,"Nursery/Preschool, School Age"
108,Dauphin Ukrainian Nursery School and Smith Jackson Kids Club,"701 1st Street SE
Dauphin, Manitoba
R7N 3L4",sadochok@mvsd.ca,(204) 638-0892,"Nursery/Preschool, School Age"
109,David Livingstone School Age Program,"270 Flora avenue
Winnipeg, Manitoba
R2W 2P9",cyoungmanidooed@shaw.ca,,"Nursery/Preschool, School Age"
110,Dawn and Dusk Before and After School Program Inc,"1020 Louelda Street
Winnipeg, Manitoba
R2K 3Z4",deborah.dawndusk@gmail.com,,"Nursery/Preschool, School Age"
111,Day Nursery Centre Inc. - Crossways,"103-222 Furby Street
Winnipeg, Manitoba
R3C 2A7",dncsec@mts.net,(204) 775-6513,"Infant, Nursery/Preschool"
112,Day Nursery Centre Inc. - Ellice,"557 Ellice Avenue
Winnipeg, Manitoba
R3B 3C6",dnckenn@mymts.net,(204) 957-0167,"Infant, Nursery/Preschool"
113,Day Nursery Centre Inc. - Gretta Brown,"336 flora Avenue
Winnipeg, Manitoba
R3C 2A7",dncsec@mymts.net,(204) 586-3763,"Infant, Nursery/Preschool"
114,Day Nursery Centre Inc. – Kid Gloves,"555 Logan Avenue
Winnipeg, Manitoba
R3A 0S4",,(204) 786-6128,Nursery/Preschool
115,Day Nursery Centre Inc. - Young St.,"101-195 Young Street
Winnipeg, Manitoba
R3C 3S8",dnckenn@mymts.net,(204) 942-6022,"Infant, Nursery/Preschool"
116,Deep Roots Early Learners,"535 Park Street
Brandon, Manitoba
R7A 6M6",deeproots2018@gmail.com,,Nursery/Preschool
117,Discovery Children's Centre Inc.,"Rm1-12-367 Hampton Street
Winnipeg, Manitoba
R3J 1P7",dcc@discoverycc.com,,"Infant, Nursery/Preschool, School Age"
118,Down to Earth Children's Centre,"300 Carpathia Road
Winnipeg, Manitoba
R3N 1T3",ctcfinc@gmail.com,,"Nursery/Preschool, School Age"
119,Downtown YM-YWCA Creative Play,"301 Vaughan Street
Winnipeg, Manitoba
R3B 2N7",karen.howgate@ymanitoba.ca,,Nursery/Preschool
120,Dreaming Big Preschool,"440 Richmond Avenue
Brandon, Manitoba
R7A 6E9",heathboyce@gmail.com,,Nursery/Preschool
121,Dugald Day Care Inc.,"544 Holland Street
Dugald, Manitoba
R0E 0K0",ddaycare@mymts.net,,"Infant, Nursery/Preschool, School Age"
122,Dugald Daycare at Ecole Dugald,"795 Jaffray Street
Dugald, Manitoba
R0E 0K0",ddaycare@mymts.net,,"Infant, Nursery/Preschool"
123,Eagle Wing Early Education Centre,"99 Euclid Avenue
Winnipeg, Manitoba
R2W 2W5",director@eaglewing.ca,,"Infant, Nursery/Preschool, School Age"
124,Eaglets Daycare Co-op Inc,"1 School Road
Eriksdale, Manitoba
R0C 0W0",eagletsdaycare@hotmail.com,(204) 739-5566,"Infant, Nursery/Preschool, School Age"
125,Earl Grey Children's Centre Inc.,"340 Cockburn Street N
Winnipeg, Manitoba
R3M 2P5",earlg@mts.net,,"Nursery/Preschool, School Age"
126,Early Learning and Child Care Thompson Inc.,"55 UCN Drive
Thompson, Manitoba
R8N 1L7",elccth@gmail.com,,"Infant, Nursery/Preschool"
127,East Transcona Before and After Program Inc.,"500 Redonda Street
Winnipeg, Manitoba
R2C 3T7",etba@shaw.ca,(204) 221-1639,"Nursery/Preschool, School Age"
128,Eastern Star Preschool,"525 Cathcart Street
Winnipeg, Manitoba
R3R 0S6",easternstarps@pmccc.ca,,Nursery/Preschool
129,Ecole Centrale School Age Center Inc.,"604 Day Street
Winnipeg, Manitoba
R2C 1B6",ECSCHOOLAGE@GMAIL.COM,,"Nursery/Preschool, School Age"
130,Ecole Crane Before and After School Program,"888 Crane Avenue
Winnipeg, Manitoba
R3T 1T9",ashleigh.maryk@ymanitoba.ca,,"Nursery/Preschool, School Age"
131,Ecole Guyot Pre-Kindergarten Inc.,"400 Willowlake Drive
Winnipeg, Manitoba
R2J 3K2",ecoleguyotprek@gmail.com,,Nursery/Preschool
132,Ecole Varennes Before and After School Program,"22 Varennes Avenue
Winnipeg, Manitoba
R2M 0N1",heather.seniuk@ymanitoba.ca,,"Nursery/Preschool, School Age"
133,Elie Mini-Fran Inc.,"14 Main Street
Elie, Manitoba
R0H 0H0",prairieskychild@outlook.com,,"Nursery/Preschool, School Age"
134,Elkhorn Early Learning Centre,"112 Wexford Street
Elkhorn, Manitoba
R0M 0N0",eelcdirector@gmail.com,,"Infant, Nursery/Preschool"
135,Elkhorn Tiny Tots Inc.,"112 Tralee Street
Elkhorn, Manitoba
R0M 0N0",elkhorntinytotsboard@gmail.com,,Nursery/Preschool
136,Elm Creek Early Childhood Centre,"194 Gordon Avenue
Elm Creek, Manitoba
R0G 0N0",ecstaynplay@gmail.com,,"Infant, Nursery/Preschool"
137,Elmwood Day Nursery Inc.,"75 Brazier Avenue
Winnipeg, Manitoba
R2K 1N6",,(204) 668-7944,Nursery/Preschool
138,Emerson Kinder College,"25 1st Street
Emerson, Manitoba
R0A 0L0",emersonkindercollege@mymts.net,(204) 373-2921,"Infant, Nursery/Preschool"
139,EMU School Age Centre Inc.,"25 Regina Place
Winnipeg, Manitoba
R2C 0S5",emusac@mymts.net,,"Nursery/Preschool, School Age"
140,Epiphany Children's Centre Inc.,"196 Dalhousie Drive
Winnipeg, Manitoba
R3T 2Z1",ecci2@mts.net,,"Nursery/Preschool, School Age"
141,ESRSS Daycare Inc.,"1015 2nd Street S
Swan River, Manitoba
R0L 1Z0",esrssdaycare@outlook.com,(204) 734-6133,"Infant, Nursery/Preschool, School Age"
142,Etoiles d'la Rouge Inc.,"113 2nd Avenue
St. Jean-Baptiste, Manitoba
R0G 2B0",etoilesdlarouge30@gmail.com,(204) 758-3625,"Infant, Nursery/Preschool, School Age"
143,Explore and Discover Early Learning Centre Inc.,"251 Edgeland Boulevard
Winnipeg, Manitoba
R3P 0R2",,(204) 488-1284,"Infant, Nursery/Preschool"
144,Explore and Discover Early Learning Centre Inc. - School Age,"2300 Corydon Avenue
Winnipeg, Manitoba
R3P 0N6",admin@explorediscover.ca,,"Nursery/Preschool, School Age"
145,Explorer's Children's Centre Inc.,"1466 William Avenue W
Winnipeg, Manitoba
R3E 1A5",cexplorers@shaw.ca,(204) 774-9264,"Infant, Nursery/Preschool, School Age"
146,Fairlane Children's Centre Incorporated,"369 Fairlane Avenue
Winnipeg, Manitoba
R2Y 0B6",fcci@mymts.net,(204) 889-0855,"Infant, Nursery/Preschool"
147,Faith Children's Centre,"1311 Dakota Street
Winnipeg, Manitoba
R2N 1V8",faithcc1@mts.net,,"Nursery/Preschool, School Age"
148,Festival Early Learning and Child Care Cenre Inc- Main Site,"280 Caron Road
R.M. of Headingly, Manitoba
R2H 1B4",director@festivalelcc.com,(204) 889-5572,"Infant, Nursery/Preschool, School Age"
149,Festival Early Learning and Child Care Centre - Morgan Site,"305 Morgan Crescent
Winnipeg, Manitoba
R2Y 0C9",director@festivalelcc.com,,"Nursery/Preschool, School Age"
150,Fisher Branch Care-A-Lot For Tots Inc.,"Lot 43 Main Street
Fisher Branch, Manitoba
R0C 0Z0",carealot@mymts.net,,"Infant, Nursery/Preschool"
151,"Flin Flon Kiddie Korner Day Care, Inc","9 Terrace Avenue
Flin Flon, Manitoba
R8A 1N1",admin@kkdaycare.ca,,Nursery/Preschool
152,Fort Garry Child Care Centre Co-op Inc.,"1555 Pembina Highway
Winnipeg, Manitoba
R3T 2E5",childcare@fgcccc.ca,,Nursery/Preschool
153,Fort Garry Oakenwald School Age Program,"666 Oakenwald Avenue
Winnipeg, Manitoba
R3T 1M4",childcare@fgcccc.ca,,"Nursery/Preschool, School Age"
154,Fort Rouge Child Care,"290 Lilac Street
Winnipeg, Manitoba
R3M 2T5",frccinc@shawbiz.ca,,"Nursery/Preschool, School Age"
155,Fort Rouge Child Care Program Board Inc.,"525 Wardlaw Avenue
Winnipeg, Manitoba
R3L 0L9",frccinc@shawbiz.ca,,"Nursery/Preschool, School Age"
156,Fort Rouge Co-op Day Nursery Inc.,"513 Stradbrook Avenue
Winnipeg, Manitoba
R3L 0K2",susan@frcdn.ca,,"Infant, Nursery/Preschool"
157,Freight House Early Learning & Care Inc. Logan Site,"560 Logan Avenue
winnipeg, Manitoba
R3A 0J3",fhelc@shawbiz.ca,,"Infant, Nursery/Preschool"
158,Freight House Early Learning and Care Inc. Dufferin Site,"545 Alexander Avenue
Winnipeg, Manitoba
R3A 1A1",fhelc@shawbiz.ca,,"Nursery/Preschool, School Age"
159,Freight House Early Learning and Care Inc. Ross Site,"505 Ross Avenue
Winnipeg, Manitoba
R3A 1P5",fhelc@shawbiz.ca,,"Infant, Nursery/Preschool"
160,Freight House Early Learning and Care Inc.Infant and IRCOM Site,"470 Pacific Avenue
Winnipeg, Manitoba
R3A 1R5",fhelc@shawbiz.ca,,"Infant, Nursery/Preschool"
161,Friendly Folk Nursery Co-op Inc.,"301 River Road
Arborg, Manitoba
R0C 0A0",,(204) 376-2996,Nursery/Preschool
162,Frontenac Before and After School Program,"866 Autumnwood Drive
Wpg., Manitoba
R2J 1C1",heather.seniuk@ymanitoba.ca,,"Nursery/Preschool, School Age"
163,Funshine Early Learning Centre Inc.,"211 Oxford Street W
Virden, Manitoba
R0M 2C0",funshine1@funshineearlylearning.ca,,"Nursery/Preschool, School Age"
164,Funshine Early Learning Centre Inc.,"211 Oxford Street W
Virden, Manitoba
R0M 2C0",funshine1@funshineearlylearning.ca,,"Infant, Nursery/Preschool"
165,Funshine II Early Learning Centre Inc.,"125 10th Avenue S
Virden, Manitoba
R0M 2C0",funshine2@funshineearlylearning.ca,,"Infant, Nursery/Preschool"
166,Fuzzy Bears Inc.,"10 Knowlton Drive
Brandon, Manitoba
R7A 6N7",fuzzybi@mymts.net,,"Infant, Nursery/Preschool"
167,Garden Grove Child Care Program Inc.,"2340 Burrows Avenue
Winnipeg, Manitoba
R2R 1W1",jodi@gardengrovechildcare.ca,(204) 632-9987,"Nursery/Preschool, School Age"
