Centers,Locations,emails,phones,licenses,hours,programs
Bayview Community Preschool Society,"4275 Crown St, Vancouver, V6S 2K3",admin@bayviewpreschool.ca,236-996-9098,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Birdsong Nature School Ltd,"985 Shawnigan-Mill Bay Rd, Mill Bay, V0R 2P2",birdsongnature@gmail.com,250-743-7300,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Blind Bay Munchkins Childcare,"2570 Forest Dr, Blind Bay, V0E 1H2",samantha-wood@hotmail.com,250-675-3476,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Bloom & Grow Early Learning,"24-750 Fortune Drive, Kamloops, V2B 2L2",bloomgrowearlylearning@hotmail.com,250-376-5437,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Boundary Bay Montessori House,"3800 - 72Nd St, Delta, V4K 3N2",academicdirector@bbmh.com,604-946-9814,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Brainbridge Bilingual Education And Fine Arts Centre,"2295 E 61, Vancouver, V5P 2K5",bblc_edu@hotmail.com,604-322-6830,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Brainbridge Bilingual Education And Fine Arts Centre,"2295 E 61, Vancouver, V5P 2K5",bblc_edu@hotmail.com,604-322-6830,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Bright Beginnings Early Childhood Centre,"22 Cortez Place, Nanaimo, V9S 2Y7",kolbie.rai@gmail.com,250-754-2499,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Bright Owlets Childcare & Learning Centre,"320 43Rd Ave E, Vancouver, V5W 1T3",bright.owlets@gmail.com,604-225-9240,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Bright Owlets Childcare And Learning Centre 2,"322 E 43Rd Ave, Vancouver, V5W 1T3",brightowlets2@gmail.com,604-225-2299,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Bright Owlets Childcare And Learning Centre 3,"985 E 39Th Ave, Vancouver, V5W 1K7",bright.owlets@gmail.com,604-216-9123,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Bright Rainbow Child Care,"Unit Acd - 6235 136Th St, Surrey, V3X 1H3",info@brightrainbowchildcare.ca,604-590-6771,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten"
Bright Rainbow Child Care,"B & C - 6225 136Th St, Surrey, V3X 1H3",brightrainbowchildcare@gmail.com,604-590-6771,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Brilliant Butterflies Children's Learning Centre,"110 - 11655 86 Ave, Delta, V4C 2X5",butterflies.clc@gmail.com,778-881-4370,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Brockton School Junior Kindergarten,"3467 Duval Rd, North Vancouver, V7J 3E8",jrichards@brocktonschool.com,604-929-9201,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Building Blocks Educare - Gordon Campus,"1605 Gordon Dr, Kelowna, V1Y 3G8",info@buildingblockseducare.com,778-478-1818,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Building Blocks Educare - Sutherland Campus,"1521 Sutherland Ave, Kelowna, V1Y 5Y7",info@buildingblockseducare.com,778-478-1818,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Burnaby French Language Playschool,"6060 Marlborough Ave, Burnaby, V5H 3L7",president@bflp.org,604-432-1323,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Burnaby Lakeview Preschool,"7777 Mayfield St, Burnaby, V5E 2J5",burnabylakeview@gmail.com,604-522-5515,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
C&S Child Care,"4625 62Nd St, Delta, V4K 3L8",cschildcareinc@gmail.com,604-946-4060,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Cambridge Learning Centre Inc,"17285 61A Ave, Surrey, V3S 1W3",cambridgelearning@gmail.com,604-655-5005,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Cambridge Montessori Children's Centre,"57 7Th Ave, New Westminster, V3L 1V9",cambridgemontessori88@gmail.com,778-668-7188,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Cambridge Montessori Children's House,"4415 Fitzgerald Ave, Burnaby, V5G 4H8",cambridgemontessori88@gmail.com,778-668-7188,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Cariboo Chilcotin Child Development Centre,"690 Second Ave N, Williams Lake, V2G 4C4",mfournier@ccchild.org,250-392-4481,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Caribou Kids Ltd.,"1559 Illecillewaet Road, Revelstoke, V0E 2S1",cariboukidsrevelstoke@gmail.com,250-805-1323,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Carney Hill Neighbourhood Centre,"2579 Victoria St, Prince George, V2L 2M3",admin@carneyhill.ca,250-563-0858,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Cefa (Core Education And Fine Arts),"1815 Bowen Rd, Nanaimo, V9S 1H1",saranajafi@cefa.ca,250-755-6502,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Central Christian Children's Center,"5855 Imperial St, Burnaby, V5J 1G4",rs.cca@telus.net,604-433-2324,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Central Sockeye Preschool,"9435 Young Rd, Chilliwack, V2P 4S7",ccecss@gmail.com,604-792-8539,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Children's Casa Early Learning Center,"101-2049 Highland Pl, Kamloops, V2E 0A8",juniperchildrenscasa.com,250-377-5342,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Children's Community Preschool,"401 11Th Ave, Campbell River, V9W 4G2",royce.pritchard@campbellriver.ca,250-286-5306,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
City Hall Child Care Society,"2685 Cambie St, Vancouver, V5Z 4K2",cityhallchildcare@telus.net,604-876-8918,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
City Hall Child Care Society,"2685 Cambie St, Vancouver, V5Z 4K2",cityhallchildcare@telus.net,604-876-8918,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Class Of West K,"201-1979 Old Okanagan Hwy, Westbank, V4T 3A4",info@classwestk.org,250-808-3930,Licensed Group Child Care Facility,"Hours of operation: Weekdays, Weekdays Before 6am","Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Cloudberries,"6897 120Th St, Delta, V4E 2A8",cloudberriesdaycare@gmail.com,604-431-6072,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Colour My World Childcare,"1579 Collingwood Dr, Kamloops, V2B 6C3",admin@colourmyworldchildcare.ca,250-554-4333,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Comox Valley Aboriginal Head Start,"956 Grieve Ave, Courtenay, V9N 2T9",wwona.ed@shaw.ca,250-334-9591,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Contemporary Kids Learning Centre Inc.,"2621 Montrose Ave, Abbotsford, V2S 3T5",shavaun@contemporarykids.ca,604-839-0511,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Coronation Montessori Preschool,"422 Ballou Pl, Kelowna, V1V 1V4",coronationmontessoripreschool@gmail.com,778-484-3121,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Cortes Island Playschool,"983 Beasley Rd, Mansons Landing, V0P 1K0",playschool@mansonhall.org,250-935-0015,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool"
Costumes & Crayons Daycare Center,"1600 Johnson Street, Prince George, V2M 3A6",costumes.crayons@gmail.com,236-423-0132,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Cr Generations Children's Centre,"850 14Th Ave, Campbell River, V9W 4H4",generationscc@hotmail.com,250-830-8396,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Cranberry Eco Preschool,"6831 Artaban St, Powell River, V8A 4B9",gnesci@pracl.ca,604-485-7664,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Creative Corner,"1953 Embleton Cres, Courtenay, V9N 8K1",creative_corner@shaw.ca,250-338-3847,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Creative Cubs Early Learning Centre Ltd.,"2-7585 Main St W, Radium Hot Springs, V0A 1M0",admin@creativecubs.ca,403-464-4818,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Creative Edge School Of Arts Ltd.,"300-3033 Immel St, Abbotsford, V2S 6S2",creativeedge@shaw.ca,604-855-3343,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Dandelion Fields Outdoor Preschool,"46200 Stoneview Drive, Chilliwack, V2R 5W8",,604-703-8417,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Dilworth Mountain YMCA Childcare,"950 Dilworth Dr, Kelowna, V1V 1S6",dmiranda@ymcaokanagan.ca,250-491-8677,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Discovery Station Preschool,"20097 72 Ave, Langley, V2Y 1S7",discoverystation@hotmail.com,604-533-5881,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Don Moore Childcare,"3392 Don Moore Dr, Coquitlam, V3E 0C5",donmoorechildcare@gmail.com,604-500-0740,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Dunbar Memorial Preschool,"4747 Dunbar St, Vancouver, V6S 2H2",exec.preschool@gmail.com,778-385-9029,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Duncan Christian School Early Learning Program,"495 Beech Ave, Duncan, V9L 3J8",dbrandsma@duncanchristian.com,250-746-3654,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Duncan Cran Preschool,"8130 89 Ave, Fort St. John, V1J 5S5",pessensa@prn.bc.ca,250-794-1955,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Dundarave Preschool By The Sea,"2478 Bellevue Ave, West Vancouver, V7V 1E2",dundaravepreschool@telus.net,604-922-7437,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Eagle Harbour Montessori Childcare,"5575 Marine Drive, West Vancouver, V7W 2R4",info@wiseowlchildcare.com,604-783-6604,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Eaglekids Learning Centre - Squamish Ltd.,"38380 Buckley Ave, Squamish, V8B 0E4",andre.correa@eaglekids.ca,778-883-3730,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Eaglekids Learning Centre - Squamish Ltd.,"38380 Buckley Ave, Squamish, V8B 0E4",andre.correa@eaglekids.ca,778-883-3730,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Early Beginnings Multi-Age Child Care,"2643 McGill St, Vancouver, V5K 1H2",adeela_b@hotmail.com,604-255-2579,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Grade 1 to Age 12"
Early Inquirers Preschool Ltd.,"3175 Thompson Pl, West Vancouver, V7V 3E3",info@earlyinquirers.com,604-926-6836,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Elements Early Learning Centre,"2102 29Th Cres, Vernon, V1T 1Y5",elementsearlylearning@gmail.com,250-351-9021,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Elizabeth Fry Family Centre,"1575 5Th Ave, Prince George, V2L 3L9",kelly@pgefry.bc.ca,250-563-1113,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Elkford Child Development Society,"2-2200 Balmer Drive, Elkford, V0B 1H0",elkford.cds@gmail.com,250-910-9888,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Encompass Language And Learning Centre,"243-4750 Rutherford Rd, Nanaimo, V9T 4K6",admin@encompasslearn.ca,250-585-0826,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Enderby Preschool Daycare And Kids Club,"102 Meadow Cres, Enderby, V0E 1V0",preschool384@gmail.com,250-838-6676,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Enjoy Learning Childcare,"10454 Tamarack Cres, Maple Ridge, V2W 1B5",enjoylearningchildcare@gmail.com,604-380-1906,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Evergreen Child Care Centre,"1185 Centre St, White Rock, V4B 4C8",evergreenchildcarecentre1@gmail.com,604-531-8045,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Exploration Station Child Care,"809 Merrycreek Rd, Castlegar, V1N 2P1",explorationstationcastlegar@gmail.com,250-608-3511,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten"
Fernie Forest School Society,"44 Mt Washburn St, Fernie, V0B 1M3",kristapreschool160@gmail.com,250-423-0407,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool"
First Steps Day Care,"570 Mark St, Kimberley, V1A 2B8",ed@summitfamily.ca,250-489-3114,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
For The Kids Daycare (West Kelowna),"101-1680 Ross Rd, West Kelowna, V1Z 1L9",info@forthekidsdaycare.ca,250-769-1601,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
For The Kids Daycare Centre,"3770 Water Rd, Kelowna, V1W 4G2",inquiry@forthekidsdaycare.ca,250-762-3661,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Fort Nelson Playschool,"5319 50 Ave S, Fort Nelson, V0C 1R0",fortnelsonplayschool@hotmail.ca,250-774-3351,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Fraser River Cec - Centre Of Early Childhood Development,"46048 Gore Ave, Chilliwack, V2P 1Z6",contact@fraserrivercec.ca,604-832-6284,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Fraserhood Childcare Centre,"4585 Prince Albert St, Vancouver, V5V 4K3",fraserhoodchildcarecentre@gmail.com,604-724-6818,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Fun Planet Childcare And Learning Centre,"3540 Mahon Ave, North Vancouver, V7N 3T6",elmira_1987j@yahoo.com,604-767-3512,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Futurekids Daycare Centre,"600 Fairview St, Coquitlam, V3J 4A7",futurekidsdc@yahoo.com,604-720-2287,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
G.R. Pearkes Child Care Services,"3970 Haro Rd, Victoria, V8N 4A9",,250-519-6778,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Gammie's Daycare,"6 - 520 Mackenzie Blvd, Mackenzie, V0J 2C0",gammiesdaycare@gmail.com,250-997-5437,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Garderie L'ile Aux Enfants,"5445 Baillie St, Vancouver, V5Z 3M6",garderies@fpfcb.bc.ca,604-736-5056,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Garderie Les Aventuriers,"8736 216 St, Langley, V1M 2X9",garderies@fpfcb.bc.ca,604-736-5056,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Garderie Les Etoiles De Mer,"1951 Estevan Rd, Nanaimo, V9S 3Y9",garderies@fpfcb.bc.ca,604-736-5056,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Garderie Les Randonneurs,"2160 St Paul St, Rossland, V0G 1Y0",garderies@fpfcb.bc.ca,604-736-5056,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Garderie Les Riverains,"7674 Stave Lake St, Mission, V2V 4G4",garderies@fpfcb.bc.ca,604-736-5056,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Gilmore Preschool,"50 South Gilmore Avenue, Burnaby, V5C 4P5",gilmorepreschoolburnaby@gmail.com,604-618-4333,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Glenayre Montessori Daycare,"495 Glencoe St, Port Moody, V3H 1G6",sehammerali@gmail.com,604-937-0084,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Glenlyon Norfolk School Daycare,"1701 Beach Dr, Victoria, V8R 6H9",rkiddell@glenlyonnorfolk.bc.ca,250-370-6854,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Golden Apple Children's House,"4620 Coventry Drive, Richmond, V7C 4R2",jinhuacheneric@yahoo.com,604-241-1115,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Golden Child Daycare,"818 9Th St N, Golden, V0A 1H2",pamela@mountainsidegardens.ca,250-344-5585,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Golden Sunshine Daycare Centre,"402 First St, New Westminster, V3L 2G7",nanadiamond2@gmail.com,778-223-6676,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten"
Grow And Discover Education Inc.,"239 Puntledge Rd, Courtenay, V9N 3P9",admin@gradecv.com,250-334-1613,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Guru Nanak Child Care Centre,"206- 7938 128 St, Surrey, V3W 4G2",,604-592-0077,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Hanna Court Children's Centre,"7521 Hanna Crt, Burnaby, V3N 5A3",bccs@telus.net,604-520-6017,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Happy Corner Parent Participation Preschool,"3434 Falaise Ave, Vancouver, V5M 4C1",happycornerinfo@gmail.com,604-433-7923,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Happy Hummingbirds Childcare,"1609 Meredith Rd, Nanaimo, V9S 5J2",shelly@happyhummingbirds.ca,250-533-9284,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Happy May Child Care Centre Ii,"170 4751 Garden City Road, Richmond, V6X 3M7",meikang@hotmail.com,604-218-6581,Licensed Group Child Care Facility,Hours of operation: Weekends,Programs: Under 36 Months
